character,dialogue,episode
VADER,As you wish.,episode IV
TARKIN,This bickering is pointless.  Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational.  We will then crush the Rebellion with one swift stroke.,episode IV
LUKE,"It looks like Sand People did this, all right.  Look, here are gaffi sticks, bantha tracks.  Its just... I never heard of them hitting anything this big before.",episode IV
BEN,They didnt.  But we are meant to think they did.  These tracks are side by side.  Sand People always ride single file to hide there numbers.,episode IV
LUKE,These are the same Jawas that sold us Artoo and Threepio.,episode IV
BEN,"And these blast points, too accurate for Sand People.  Only Imperial stormtroopers are so precise.",episode IV
LUKE,Why would Imperial troops want to slaughter Jawas,episode IV
LUKE,"If they traced the robots here, they may have learned who they sold them to.  And that would lead them back home",episode IV
BEN,"Wait, Luke  Its too dangerous.",episode IV
LUKE,Uncle Owen  Aunt Beru  Uncle Owen,episode IV
VADER,"And, now Your Highness, we will discuss the location of your hidden Rebel base.",episode IV
BEN,"Theres nothing you could have done, Luke, had you been there.  Youd have been killed, too, and the droids would now be in the hands of the Empire.",episode IV
LUKE,I want to come with you to Alderaan.  Theres nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father.,episode IV
BEN,Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious.,episode IV
TROOPER,How long have you had these droids,episode IV
LUKE,About three or four seasons.,episode IV
BEN,Theyre for sale if you want them.,episode IV
TROOPER,Let me see your identification.,episode IV
BEN,You dont need to see his identification.,episode IV
TROOPER,We dont need to see his identification.,episode IV
BEN,looking for.,episode IV
TROOPER,These are not the droids were looking for.,episode IV
BEN,He can go about his business.,episode IV
TROOPER,You can go about your business.,episode IV
BEN,Move along.,episode IV
TROOPER,Move along.  Move along.,episode IV
THREEPIO,I cant abide these Jawas.  Disgusting creatures.,episode IV
LUKE,"Go on, go on.  I cant understand how we got by those troopers.  I thought we were dead.",episode IV
BEN,The Force can have a strong influence on the weak-minded.  You will find it a powerful ally.,episode IV
LUKE,Do you really think were going to find a pilot here thatll take us to Alderaan,episode IV
BEN,"Well, most of the best freighter pilots can be found here.  Only watch your step.  This place can be a little rough.",episode IV
LUKE,Im ready for anything.,episode IV
THREEPIO,"Come along, Artoo.",episode IV
BARTENDER,We dont serve their kind here,episode IV
LUKE,What,episode IV
BARTENDER,Your droids. Theyll have to wait outside.  We dont want them here.,episode IV
LUKE,"Listen, why dont you wait out by the speeder.  We dont want any trouble.",episode IV
THREEPIO,I heartily agree with you sir.,episode IV
CREATURE,Negola dewaghi wooldugger,episode IV
HUMAN,He doesnt like you.,episode IV
LUKE,Im sorry.,episode IV
HUMAN,I dont like you either,episode IV
HUMAN,Dont insult us.  You just watch yourself.  Were wanted men.  I have the death sentence on twelve systems.,episode IV
LUKE,Ill be careful than.,episode IV
HUMAN,Youll be dead.,episode IV
BEN,This little one isnt worth the effort.  Come let me buy you something...,episode IV
BARTENDER,No blasters  No blaster,episode IV
BEN,This is Chewbacca.  Hes first-mate on a ship that might suit our needs.,episode IV
THREEPIO,I dont like the look of this.,episode IV
HAN,Han Solo.  Im captain of the Millennium Falcon.  Chewie here tells me youre looking for passage to the Alderaan system.,episode IV
BEN,"Yes, indeed.  If its a fast ship.",episode IV
HAN,Fast ship  Youve never heard of the Millennium Falcon,episode IV
BEN,Should I have,episode IV
HAN,Its the ship that made the Kessel run in less than twelve parsecs,episode IV
HAN,"Ive outrun Imperial starships, not the local bulk-cruisers, mind you.  Im talking about the big Corellian ships now.  Shes fast enough for you, old man.  Whats the cargo",episode IV
BEN,"Only passengers.  Myself, the boy, two droids, and no questions asked.",episode IV
HAN,What is it  Some kind of local trouble,episode IV
BEN,Lets just say wed like to avoid any Imperial entanglements.,episode IV
HAN,"Well, thats the real trick, isnt it  And its going to cost you something extra.  Ten thousand in advance.",episode IV
LUKE,Ten thousand  We could almost buy our own ship for that,episode IV
HAN,"But whos going to fly it, kid  You",episode IV
LUKE,You bet I could.  Im not such a bad pilot myself  We dont have to sit here and listen...,episode IV
BEN,"We havent that much with us.  But we could pay you two thousand now, plus fifteen when we reach Alderaan.",episode IV
HAN,"Seventeen, huh",episode IV
HAN,Okay.  You guys got yourself a ship.  Well leave as soon as youre ready.  Docking bay Ninety-four.,episode IV
BEN,Ninety-four.,episode IV
HAN,Looks like somebodys beginning to take an interest in your handiwork.,episode IV
TROOPER,"All right, well check it out.",episode IV
