character,dialogue,episode
HAN,Now lets blow this thing and go home,episode IV
INTERCOM VOICE,Stand by to fire at Rebel base.,episode IV
INTERCOM VOICE,Standing by.,episode IV
HAN,"Great shot, kid.  That was one in a million.",episode IV
BEN,"Remember, the Force will be with you... always.",episode IV
LEIA,Luke  Luke  Luke,episode IV
HAN,Hey  Hey,episode IV
LUKE,I knew youd come back  I just knew it,episode IV
HAN,"Well, I wasnt gonna let you get all the credit and take all the reward.",episode IV
LEIA,"Hey, I knew there was more to you than money.",episode IV
LUKE,"Oh, no",episode IV
THREEPIO,"Oh, my  Artoo  Can you hear me  Say somethingYou can repair him, cant you",episode IV
TECHNICIAN,Well get to work on him right away.,episode IV
THREEPIO,"You must repair him  Sir, if any of my circuits or gears will help, Ill gladly donate them.",episode IV
LUKE,Hell be all right.,episode IV
LUKE,"Echo Three to Echo Seven. Han, old buddy, do you  read me",episode V
HAN,"Loud and clear, kid. Whats up",episode V
LUKE,"Well, I finished my circle. I dont pick up any  life readings.",episode V
HAN,There isnt enough life on this ice cube to fill a  space cruiser. The sensors are placed. Im going back.,episode V
LUKE,Right. Ill see you shortly. Theres a meteorite  that hit the ground near here. I want to check it out. It wont take long.,episode V
LUKE,"Hey, steady girl. Whats the matter You smell something",episode V
LUKE,Aaargh,episode V
HAN,Chewie,episode V
HAN,"All right, dont lose your temper. Ill come right back and give  you a hand.",episode V
RIEEKAN,Solo,episode V
HAN,"No sign of life out there, General. The sensors are in place.  Youll know if anything comes around.",episode V
RIEEKAN,Commander Skywalker reported in yet,episode V
HAN,No. Hes checking out a meteorite that hit near him.,episode V
RIEEKAN,"With all the meteor activity in this  system, its going to be difficult to spot approaching ships.",episode V
HAN,"General, Ive got to leave. I cant stay anymore.",episode V
RIEEKAN,Im sorry to hear that.,episode V
HAN,"Well, theres a price on my head. If I dont pay off Jabba the  Hut, Im a dead man.",episode V
RIEEKAN,"A death marks not an easy thing to live with. Youre a good  fighter, Solo. I hate to lose you.",episode V
HAN,"Thank you, General.",episode V
HAN,"Well, Your Highness, I guess this is it.",episode V
LEIA,Thats right.,episode V
HAN,"Well, dont get all mushy on me. So long, Princess.",episode V
LEIA,Han,episode V
HAN,"Yes, Your Highnessness",episode V
LEIA,I thought you decided to stay.,episode V
HAN,"Well, the bounty hunter we ran into on Ord Mantell changed my  mind.",episode V
LEIA,"Han, we need you",episode V
HAN,We,episode V
LEIA,Yes.,episode V
HAN,"Oh, what about you need",episode V
LEIA,I need I dont know what youre talking about.,episode V
HAN,You probably dont.,episode V
LEIA,And what precisely am I supposed to know,episode V
HAN,Come on You want me to stay because of the way you feel about  me.,episode V
LEIA,Yes. Youre a great help to us. Youre a natural leader...,episode V
HAN,No Thats not it. Come on. Aahhh -- uh huh Come on.,episode V
LEIA,Youre imagining things.,episode V
HAN,Am I Then why are you following me Afraid I was going to leave  without giving you a goodbye kiss,episode V
LEIA,Id just as soon kiss a Wookiee.,episode V
HAN,I can arrange that. You could use a good kiss,episode V
THREEPIO,Dont try to blame me. I didnt ask you to turn on the  thermal heater. I merely commented that it was freezing in the princesss chamber. But its supposed to be freezing. How are we going to dry out all her clothes I really dont know.,episode V
THREEPIO,"Oh, switch off.",episode V
HAN,Why do you take this apart now Im trying to get us  out of here and you pull both of these.,episode V
THREEPIO,"Excuse me, sir.",episode V
HAN,Put them back together right now.,episode V
THREEPIO,"Might I have a word with you, please",episode V
HAN,What do you want,episode V
THREEPIO,"Well, its Princess Leia, sir. Shes been trying to get you  on the communicator.",episode V
HAN,I turned it off. I dont want to talk to her.,episode V
THREEPIO,"Oh. Well, Princess Leia is wondering about Master Luke. He  hasnt come back yet. She doesnt know where he is.",episode V
HAN,I dont know where he is.,episode V
THREEPIO,Nobody knows where he is.,episode V
HAN,"What do you mean, nobody knows",episode V
THREEPIO,"Well, uh, you see...",episode V
HAN,Deck Officer. Deck Officer,episode V
THREEPIO,"Excuse me, sir. Might I inqu-...",episode V
DECK OFFICER,"Yes, sir",episode V
HAN,Do you know where Commander Skywalker is,episode V
DECK OFFICER,I havent seen him. Its possible he came in through the  south entrance.,episode V
HAN,Its possible Why dont you go find out Its getting dark out  there.,episode V
DECK OFFICER,"Yes, sir.",episode V
THREEPIO,"Excuse me, sir. Might I inquire whats going on",episode V
HAN,Why not,episode V
THREEPIO,"Impossible man. Come along, Artoo, lets find Princess Leia.  Between ourselves, I think Master Luke is in considerable danger.",episode V
DECK OFFICER,"Sir, Commander Skywalker hasnt come in through the  south entrance. He might have forgotten to check in.",episode V
HAN,Not likely. Are the speeders ready,episode V
DECK OFFICER,Not yet. Were having some trouble adapting them to the  cold.,episode V
HAN,Then well have to go out on Tauntauns.,episode V
DECK OFFICER,"Sir, the temperatures dropping too rapidly.",episode V
HAN,Thats right. And my friends out in it.,episode V
ASSISTANT OFFICER,Ill cover sector twelve. Have com-control set  screen alpha.,episode V
DECK OFFICER,Your Tauntaunll freeze before you reach the first  marker.,episode V
HAN,Then Ill see you in hell,episode V
THREEPIO,"You must come along now, Artoo. Theres really nothing more  we can do. And my joints are freezing up.",episode V
THREEPIO,"Dont say thing like that Of course well see Master Luke  again. Hell be quite all right, youll see.  Stupid little short-circuit. Hell be quite all right.",episode V
LIEUTENANT,"Sir, all the patrols are in. Theres still no contact from  Skywalker or Solo.",episode V
THREEPIO,"Mistress Leia, Artoo says hes been quite unable to pick up  any signals, although he does admit that his own range is far too weak to abandon all hope.",episode V
DERLIN,"Your Highness, theres nothing more we can do tonight. The  shield doors must be closed.",episode V
DERLIN,Close the doors.,episode V
LIEUTENANT,"Yes, sir.",episode V
THREEPIO,Artoo says the chances of survival are seven hundred  seventy-five...to one.,episode V
THREEPIO,"Actually, Artoo has been known to make mistakes...from time  to time. Oh, dear, oh, dear. Dont worry about Master Luke. Im sure hell be all right. Hes quite clever, you know...for a human being.",episode V
BEN,Luke...Luke.,episode V
LUKE,Ben,episode V
BEN,You will go to the Dagobah system.,episode V
LUKE,Dagobah system,episode V
BEN,"There you will learn from Yoda, the Jedi Master who instructed  me.",episode V
LUKE,Ben...Ben.,episode V
HAN,"Luke Luke Dont do this, Luke. Come on, give me a sign here.",episode V
HAN,Not much time.,episode V
LUKE,Ben...Ben...,episode V
HAN,"Hang on, kid.",episode V
LUKE,Dagobah system...,episode V
HAN,Whew...,episode V
LUKE,Dagobah...,episode V
HAN,"This may smell bad, kid...",episode V
LUKE,Yoda...,episode V
HAN,...but it will keep you warm...til I get the shelter built.   Ooh...I thought they smelled bad on the outside,episode V
ZEV,"Echo Base...Ive got something Not much, but  it could be a life form.",episode V
ZEV,"This is Rouge Two. this is Rouge Two. Captain  Solo, so you copy Commander Skywalker, do you copy This is Rouge Two.",episode V
HAN,Good morning. Nice of you guys to  drop by.,episode V
ZEV,"Echo Base...this is Rouge Two. I found  them. Repeat, I found them.",episode V
THREEPIO,"Master Luke, sir, its good to see you fully functional  again.",episode V
THREEPIO,"Artoo expresses his relief, also.",episode V
HAN,"How are you feeling, kid You dont look so bad to me. In fact,  you look strong enough to pull the ears off a Gundark.",episode V
LUKE,Thanks to you.,episode V
HAN,"Thats two you owe me, junior.",episode V
HAN,"Well your Worship, looks like you managed to keep me around for a  little while longer.",episode V
LEIA,I had nothing to do with it. General Rieekan thinks  its dangerous for any ships to leave the system until weve activated the energy shield.,episode V
HAN,Thats a good story. I think you just cant bear to let a  gorgeous guy like me out of your sight.,episode V
LEIA,"I dont know where you get you delusions, laser brain.",episode V
HAN,"Laugh it up, fuzz ball. But you didnt see us alone in the south  passage.",episode V
HAN,She expressed her true feelings for me.,episode V
LEIA,"My... Why, you stuck up,...half-witted,...scruffy-looking...  nerf-herder",episode V
HAN,"Whos scruffy-looking  I must have hit her pretty close  to the mark to get her all riled up like that, huh, kid",episode V
LEIA,"Why, I guess you dont know everything about women yet",episode V
ANNOUNCER,"Headquarters personnel, report to command  center.",episode V
HAN,Take it easy.,episode V
THREEPIO,"Excuse us, please.",episode V
RIEEKAN,Princess...we have a visitor.,episode V
RIEEKAN,"Weve picked up something outside the base in zone twelve,  moving east.",episode V
SENIOR CONTROLLER,Its metal.,episode V
LEIA,Then it couldnt be one of those creatures that attacked Luke.,episode V
HAN,"It could be a speeder, one of ours.",episode V
SENIOR CONTROLLER,No. Wait -- theres something very weak coming  through.,episode V
THREEPIO,"Sir, I am fluent in six million forms of communication. This  signal is not used by the Alliance. It could be an Imperial code.",episode V
HAN,"It isnt friendly, whatever it is. Come on, Chewie, lets check  it out.",episode V
RIEEKAN,Send Rouges Ten and Eleven to station three-eight.,episode V
HAN,Afraid theres not much left.,episode V
LEIA,What was it,episode V
HAN,Droid of some kind. I didnt hit it that hard. It  must have had a self-destruct.,episode V
LEIA,An Imperial probe droid.,episode V
HAN,Its a good bet the Empire knows were here.,episode V
RIEEKAN,Wed better start the evacuation.,episode V
PIETT,Admiral.,episode V
OZZEL,"Yes, Captain",episode V
PIETT,"I think weve got something, sir. The report is only a fragment  had.",episode V
OZZEL,"We have thousands of probe droids searching the  galaxy. I want proof, not leads",episode V
PIETT,The visuals indicate life readings.,episode V
OZZEL,It could mean anything. If we followed every lead...,episode V
PIETT,"But, sir, the Hoth system is supposed to be devoid of human  forms.",episode V
VADER,You found something,episode V
PIETT,"Yes, my lord.",episode V
VADER,Thats it. The  Rebels are there.,episode V
OZZEL,"My lord, there are so many uncharted settlements. It could be  smugglers, it could be...",episode V
VADER,"That is the system. And Im sure Skywalker is with them. Set  your course for the Hoth system. General Veers, prepare you men.",episode V
REBEL CAPTAIN,"Groups seven and ten will stay behind to fly the  speeders. As soon as each transport is loaded, evacuation control will give clearance for immediate launch.",episode V
REBEL FIGHTER,"Right, sir.",episode V
HAN,"Okay, thats it. Try it...Off Turn it  off Turn it off Off",episode V
MEDICAL DROID,"Sir, it will take quite awhile to evacuate the T-forty-  sevens.",episode V
LUKE,"Well, forget the heavy equipment. Theres plenty of time to get  the smaller modules on the transports.",episode V
MEDICAL DROID,"Take care, sir.",episode V
LUKE,Thanks.,episode V
LUKE,"Chewie, take care of yourself, okay",episode V
HAN,"Hi, kid.  Theres got to be a reason for it. Check it  at the other end. Wait a second.  You all right",episode V
LUKE,Yeah.,episode V
HAN,Be careful.,episode V
LUKE,"You, too.",episode V
CONTROLLER,"General, theres a fleet of Star Destroyers coming out of  hyperspace in sector four.",episode V
RIEEKAN,Reroute all power to the energy shield. Weve got to hold  them till all transports are away. Prepare for ground assault.,episode V
VADER,"What is it, General",episode V
VEERS,"My lord, the fleet has moves out of light-speed. Com-Scan has  detected an energy field protecting an area around the sixth planet of the Hoth system. The field is strong enough to deflect any bombardment.",episode V
VADER,The Rebels are alerted to our presence. Admiral Ozzel  came out of light-speed too close to the system.,episode V
VEERS,He felt surprise was wiser...,episode V
VADER,"He is as clumsy as he is stupid. General, prepare your troops  for a surface attack.",episode V
VEERS,"Yes, my lord.",episode V
OZZEL,"Lord Vader, the fleet has moved out of light-speed, and were  preparing to...Aaagh",episode V
VADER,"You have failed me for the last time, Admiral. Captain Piett.",episode V
PIETT,"Yes, my lord.",episode V
VADER,"Make ready to land out troops beyond the energy shield and  deploy the fleet so that nothing gets off that system. You are in command now, Admiral Piett.",episode V
PIETT,"Thank you, Lord Vader.",episode V
LEIA,"All troop carriers will assemble at the north entrance. The  heavy transport ships will leave as soon as theyre loaded. Only two fighter escorts per ship. The energy shield can only be opened for a short time, so youll have to stay very close to your transports.",episode V
